population,individual,LRT,p
CHB,HRR051935,1654.70047119,-inf
CHB,HRR051936,253.78912156,-129.89250618
CHB,HRR051937,660.2389826,-333.59309249
CHB,HRR051938,13.09632711,-8.12557242
CHB,HRR051939,57.87844762,-31.21077581
CHB,HRR051940,7.37916743,-5.02093249
CHB,HRR051941,884.55211507,-445.89551694
CHB,HRR051942,331.84271049,-169.05246825
CHB,HRR051943,297.64203033,-151.89808426
CHB,HRR051944,743.61904347,-375.3424178
CHB,HRR051945,20.08104825,-11.81094619
CHB,HRR051946,6.21472675,-4.36858218
CHB,HRR051947,118.67141829,-61.95793581
CHB,HRR051948,173.99125372,-89.80658781
CHB,HRR051949,0.85207259,-1.03291817
CHB,HRR051950,11.773255,-7.4171184
CHB,HRR051951,4.17661806,-3.19453915
CHB,HRR051952,1.36387982,-1.41524458
CHB,HRR051954,9.59009347,-6.23670041
CHB,HRR051955,69.41187535,-37.0656794
CHB,HRR051956,60.30193436,-32.44238677
CHB,HRR051958,3.35817062,-2.70497019
CHB,HRR051959,0.15515328,-0.36577544
CHB,HRR051960,8.73312607,-5.76838405
CHS,HRR051935,1800.1091769,-inf
CHS,HRR051936,319.54974346,-162.88722485
CHS,HRR051937,789.86180635,-398.49388559
CHS,HRR051938,24.87726571,-14.30818973
CHS,HRR051939,91.80320033,-48.39782614
CHS,HRR051940,26.95980802,-15.38702496
CHS,HRR051941,1025.5280663,-516.45727872
CHS,HRR051942,301.64554406,-153.90647781
CHS,HRR051943,267.36231226,-136.70495574
CHS,HRR051944,669.95251136,-338.45713756
CHS,HRR051945,13.67024813,-8.43157002
CHS,HRR051946,5.13613573,-3.75362062
CHS,HRR051947,88.12488639,-46.53865435
CHS,HRR051948,150.08687106,-77.78138933
CHS,HRR051949,0.54528109,-0.77598052
CHS,HRR051950,10.3220018,-6.63427128
CHS,HRR051951,4.50914341,-3.38983852
CHS,HRR051952,1.24901579,-1.33278947
CHS,HRR051954,8.00537294,-5.3679085
CHS,HRR051955,47.2966518,-25.82246431
CHS,HRR051956,43.99680077,-24.13781285
CHS,HRR051958,2.4878592,-2.16519391
CHS,HRR051959,0.14469913,-0.35146935
CHS,HRR051960,9.75474479,-6.32631945
CDX,HRR051935,2170.30896687,-inf
CDX,HRR051936,462.84966283,-234.7214729
CDX,HRR051937,1058.92202913,-533.17025141
CDX,HRR051938,50.15709343,-27.28094757
CDX,HRR051939,169.22242546,-87.40843559
CDX,HRR051940,85.57493797,-45.24931904
CDX,HRR051941,1306.14814755,-656.88804815
CDX,HRR051942,265.20765856,-135.62361293
CDX,HRR051943,212.87568014,-109.34862924
CDX,HRR051944,632.37390591,-319.63905987
CDX,HRR051945,17.18154242,-10.28997048
CDX,HRR051946,4.94676924,-3.64430875
CDX,HRR051947,83.80326302,-44.35325491
CDX,HRR051948,158.44626275,-81.98784515
CDX,HRR051949,0.86246074,-1.0411428
CDX,HRR051950,9.22208135,-6.03598686
CDX,HRR051951,4.11675183,-3.15918038
CDX,HRR051952,1.1177388,-1.23647578
CDX,HRR051954,10.40897852,-6.68138421
CDX,HRR051955,39.34184651,-21.75683448
CDX,HRR051956,42.17986508,-23.20913953
CDX,HRR051958,2.49142007,-2.16745648
CDX,HRR051959,0.11869213,-0.31408446
CDX,HRR051960,21.05371247,-12.3190471
JPT,HRR051935,1660.05603609,-inf
JPT,HRR051936,316.47291453,-161.3440027
JPT,HRR051937,699.51359966,-353.25920829
JPT,HRR051938,12.09863432,-7.59176895
JPT,HRR051939,85.91075995,-45.41914512
JPT,HRR051940,21.32092122,-12.45846815
JPT,HRR051941,865.58096452,-436.39912605
JPT,HRR051942,368.72358472,-187.54530126
JPT,HRR051943,387.44972902,-196.93301345
JPT,HRR051944,874.52789196,-440.87771965
JPT,HRR051945,25.73922718,-14.75506391
JPT,HRR051946,6.04530077,-4.27275205
JPT,HRR051947,193.23408828,-99.47989643
JPT,HRR051948,244.78637525,-125.37321621
JPT,HRR051949,1.21764677,-1.3099892
JPT,HRR051950,-52.9508672,0.
JPT,HRR051951,5.47428048,-3.94773809
JPT,HRR051952,1.24183972,-1.32758484
JPT,HRR051954,11.62075211,-7.33515895
JPT,HRR051955,123.57357673,-64.4289329
JPT,HRR051956,77.05748418,-40.9393903
JPT,HRR051958,3.51353829,-2.79902588
JPT,HRR051959,1.09942781,-1.22284405
JPT,HRR051960,33.45694842,-18.73732467
