individual,name,age,SNPs,lat,location
HRR051935,Yumin,8415,876757,42,northern
HRR051936,Bianbian,9545,701880,36.1,northern
HRR051937,Boshan,8320,1045084,36.5,northern
HRR051938_HRR051939_HRR051940,Xiaojingshan,7935,965904,36.5,northern
HRR051941,Xiaogao,8777,948953,37.9,northern
HRR051942,Qihe,8428,328913,25.4,southern
HRR051943_HRR051944,Liangdao,8320,1587317,26.3,southern
HRR051945_HRR051946,Suogang,4800,78436,23.5,southern
HRR051947_HRR051948_HRR051949_HRR051950_HRR051951_HRR051952_HRR051954,Xitoucun,4644,921218,26.2,southern
HRR051955_HRR051956_HRR051958_HRR051959,Tanshishan,4526,523558,26.1,southern
HRR051960,Chuanyun,334,322808,25.6,southern
